emp_no,first_name,last_name,gender,to_date,salary
10504,Xiong,Varker,M,9999-01-01,43931
10512,Udi,Gihr,M,9999-01-01,40000
10522,Marke,Cesareni,F,9999-01-01,40000
10548,Ramalingam,Gunderson,M,9999-01-01,90631
10745,Poorav,Ranze,F,9999-01-01,40000
10749,King,Brendel,M,9999-01-01,60829
10767,Monique,Doering,F,9999-01-01,40651
10768,Ishfaq,Candan,M,9999-01-01,65717
10778,Selwyn,Merey,M,9999-01-01,64996
10791,Tadahiko,Sgarro,M,9999-01-01,40000
10795,Supot,Naudin,M,9999-01-01,84206
10808,Chenxi,Leijenhorst,M,9999-01-01,40000
10835,Tomoyuki,Kermarrec,M,9999-01-01,40000
10836,Jianhua,Leivant,F,9999-01-01,65502
10844,Dipayan,Koprowski,M,9999-01-01,40000
10847,Theirry,Danley,M,9999-01-01,40000
10848,Fen,Bratsberg,F,9999-01-01,50475
10878,Lakshmi,Deville,M,9999-01-01,72102
10879,Muzhong,Chleq,F,9999-01-01,65651
10883,Shimshon,Champarnaud,M,9999-01-01,40000
10909,Georgi,Atchley,M,9999-01-01,80935
10921,Mara,Bahi,F,9999-01-01,72601
10924,Hironoby,Atchley,F,9999-01-01,84783
10927,Gal,Scallan,M,9999-01-01,51819
10936,Mountaz,Schicker,F,9999-01-01,40000
10943,Berna,Skafidas,M,9999-01-01,45890
10965,Eckart,Braunschweig,M,9999-01-01,61654
10969,Premal,Noriega,M,9999-01-01,40000
10974,Muneo,Papsdorf,M,9999-01-01,56005
10986,Masako,Schiper,M,9999-01-01,43900
10988,Chinya,Deyuan,M,9999-01-01,54174
10989,Sumali,Candan,F,9999-01-01,46406
10990,Shin,Foote,M,9999-01-01,40000
11009,Alper,Axelband,F,9999-01-01,75111
11012,Taegyun,Speckmann,F,9999-01-01,72092
11019,Leon,Huttel,M,9999-01-01,69387
11021,Srinidhi,Henders,F,9999-01-01,62670
11027,Remzi,Cappello,M,9999-01-01,40000
11031,Ottavia,Walstra,M,9999-01-01,71654
11037,Lansing,Maliniak,M,9999-01-01,40000
11038,Jinya,Beidas,M,9999-01-01,44993
11042,Gou,Breugel,F,9999-01-01,40000
11048,Jaques,Demke,M,9999-01-01,65697
11050,Elvis,Katiyar,M,9999-01-01,52251
11051,Przemyslawa,Erol,F,9999-01-01,40000
11070,Adib,Raney,M,9999-01-01,40000
11081,Barry,Boyle,M,9999-01-01,65686
11085,Hailing,Thummel,M,9999-01-01,66437
11100,Berna,Cochrane,M,9999-01-01,40000
11106,Aris,Iwayama,F,9999-01-01,71446
11112,Boaz,Mukaidono,M,9999-01-01,40000
11113,Shahab,Peng,F,9999-01-01,66401
11121,Vugranam,Kakkad,F,9999-01-01,40000
11133,Nalini,Azulay,M,9999-01-01,40000
11134,Sachar,Rajcani,F,9999-01-01,58731
11137,Hugh,Luca,M,9999-01-01,40000
11139,Bogdan,Homond,F,9999-01-01,63596
11146,Ishfaq,Masand,F,9999-01-01,96019
11148,Zhanqiu,Botman,F,9999-01-01,56344
11162,Kauko,Narlikar,F,9999-01-01,69873
11180,Mitsuyuki,Bojadziev,F,9999-01-01,40000
11197,Tadahiro,Fordan,M,9999-01-01,88741
11204,Diederik,Covnot,M,9999-01-01,40000
11207,Saeed,Gips,F,9999-01-01,49728
11208,Saniya,Valtorta,F,9999-01-01,83660
11211,Yurij,Rissland,M,9999-01-01,72668
11217,Kellie,Mawatari,M,9999-01-01,40000
11232,Hidefumi,Crelier,M,9999-01-01,43863
11240,Kiam,Condotta,M,9999-01-01,61739
11249,Randi,Cyre,M,9999-01-01,43324
11251,Bezalel,Chinal,M,9999-01-01,69432
11268,Aimee,Petersohn,F,9999-01-01,40000
11275,Hitomi,Eppinger,F,9999-01-01,58382
11290,Visit,Dredge,M,9999-01-01,65034
11295,Abdelkader,Lanzelotte,M,9999-01-01,66622
11319,Pranas,Marrakchi,F,9999-01-01,40000
11320,Atilio,McAlpine,M,9999-01-01,45118
11322,Nathalie,Pocchiola,F,9999-01-01,43021
11324,Kauko,Billingsley,F,9999-01-01,54288
11338,Kwangsub,Hanratty,M,9999-01-01,82210
11339,Flemming,Massonet,M,9999-01-01,40000
11347,Anneli,Jonsson,M,9999-01-01,41524
11365,Toshimi,Shinomoto,M,9999-01-01,56463
11376,Valery,Suomi,M,9999-01-01,46964
11380,Kenroku,Pelc,M,9999-01-01,53345
11385,Shiv,Ullian,M,9999-01-01,40000
11386,Alselm,Assaf,F,9999-01-01,47726
11393,Junsik,Junot,M,9999-01-01,40000
11398,Oscar,Peir,M,9999-01-01,44625
11404,Bedrich,Borovoy,M,9999-01-01,42907
11415,Sanjiv,Anido,M,9999-01-01,40000
11421,Josyula,Msuda,F,9999-01-01,52416
11441,Marlo,Aingworth,M,9999-01-01,67352
11449,Kotesh,Asser,M,9999-01-01,61434
11459,Duke,Suomi,M,9999-01-01,40000
11469,Guttorm,Giaccio,M,9999-01-01,44625
11506,Rance,Picel,F,9999-01-01,89747
11509,Aleksander,Feldhoffer,M,9999-01-01,40000
11513,Otmar,Mahnke,M,9999-01-01,82525
11515,Ulf,Basawa,F,9999-01-01,70182
11518,Jinxi,Oxman,M,9999-01-01,40000
11524,Xiadong,Standera,M,9999-01-01,41081
11527,Alagu,Boyle,M,9999-01-01,60212
11528,Zito,Dolinsky,M,9999-01-01,44026
11537,DAIDA,Pehl,M,9999-01-01,96023
11554,Subhash,Taubenfeld,M,9999-01-01,46065
11555,Kotesh,Perfilyeva,M,9999-01-01,40000
11567,Teiji,Mitzlaff,M,9999-01-01,86261
11568,Martins,Fujisaki,M,9999-01-01,54673
11603,Herb,Swen,F,9999-01-01,69180
11607,Tomokazu,Foong,F,9999-01-01,49584
11615,Shem,Isaak,F,9999-01-01,46591
11624,Adil,Gammage,M,9999-01-01,42001
11628,Fan,Malinowski,M,9999-01-01,43966
11640,Valeri,Coorg,M,9999-01-01,52520
11647,Magy,Nitsche,M,9999-01-01,40000
11660,Gill,Stenning,F,9999-01-01,65758
11673,Henk,Felder,F,9999-01-01,40000
11676,Valeri,Ferriere,F,9999-01-01,43310
11681,Fumitake,Benzmuller,F,9999-01-01,40000
11684,Oksana,Gide,F,9999-01-01,68753
11696,Dante,Rothe,M,9999-01-01,51633
11732,Sanjoy,Ranft,F,9999-01-01,40000
11735,Amalendu,Picci,M,9999-01-01,40000
11746,Koichi,Marrakchi,F,9999-01-01,55951
11751,Jiafu,Emiris,M,9999-01-01,40000
11764,Sanjay,Anick,F,9999-01-01,64875
11769,Chandrasekaran,Lampe,M,9999-01-01,40000
11772,Gaurav,Penz,F,9999-01-01,61295
11797,Chenxi,Thambidurai,M,9999-01-01,88050
11810,Amabile,Bhattacharjee,M,9999-01-01,41256
11817,Niranjan,Markovitch,M,9999-01-01,50638
11832,Arto,Zlotek,M,9999-01-01,40000
11844,Shawna,Demeyer,M,9999-01-01,78049
11853,Zeljko,Kusakabe,F,9999-01-01,61941
11857,Divier,Farrag,F,9999-01-01,94805
11864,Pradeep,Kriebel,F,9999-01-01,52517
11871,Nalini,Sommen,M,9999-01-01,67424
11872,Cheong,Riexinger,M,9999-01-01,43159
11894,Mitchel,Validov,M,9999-01-01,56198
11897,Cordelia,Setlzner,M,9999-01-01,80049
11906,Hideo,Boguraev,F,9999-01-01,81324
11915,Miomir,Mawatari,M,9999-01-01,58042
11931,Gunilla,Chiodo,F,9999-01-01,73369
11933,Basil,Erman,M,9999-01-01,56130
11949,Martijn,Harbusch,M,9999-01-01,40000
11983,Jaana,Hedayat,M,9999-01-01,40000
11993,Marit,Dalphin,M,9999-01-01,56505
12011,Zhilian,Coorg,F,9999-01-01,85833
12036,Mads,Ratzlaff,M,9999-01-01,67143
12037,Arunas,Katzenelson,M,9999-01-01,47805
12050,Yuchang,Tchuente,F,9999-01-01,46704
12062,Margareta,Worfolk,M,9999-01-01,44199
12069,Ayonca,Burnard,M,9999-01-01,51928
12070,Ger,Shokrollahi,M,9999-01-01,50233
12076,Karlis,Siprelle,F,9999-01-01,75381
12082,Xinan,Yamaashi,M,9999-01-01,72118
12089,Bilhanan,Socorro,M,9999-01-01,46288
12099,Nobuyoshi,Kuzuoka,M,9999-01-01,104610
12112,Satyanarayana,Avouris,M,9999-01-01,76538
12122,Satoru,Krone,F,9999-01-01,46398
12123,Xiahua,Syrzycki,F,9999-01-01,64879
12125,Shounak,Erman,F,9999-01-01,41215
12149,Suebskul,Grandbois,M,9999-01-01,109934
12159,Shem,Perly,M,9999-01-01,61210
12165,Xiaobin,Maquelin,F,9999-01-01,41951
12183,Harngdar,Iisaku,M,9999-01-01,40000
12192,Feiyu,Klyachko,F,9999-01-01,41625
12205,Sushant,Rossi,M,9999-01-01,40000
12206,Barton,Janetzko,F,9999-01-01,40000
12218,Yaghout,Strooper,M,9999-01-01,40000
12221,Vincent,Melter,M,9999-01-01,56736
12222,Abdelwaheb,Holburn,F,9999-01-01,55840
12223,Niteen,Koyama,F,9999-01-01,54459
12247,Subbu,Penttonen,F,9999-01-01,59183
12249,Eldridge,Sadowski,M,9999-01-01,70099
12256,Guadalupe,Reghbati,F,9999-01-01,40000
12264,Mart,Pagter,M,9999-01-01,51816
12270,Shakhar,Kornyak,M,9999-01-01,52840
12272,Behnaam,Grandbois,F,9999-01-01,43811
12308,Mototsugu,Cronau,M,9999-01-01,58741
12311,Susanne,Lubachevsky,M,9999-01-01,40000
12327,DAIDA,Bruckman,M,9999-01-01,67449
12341,Rasiah,Luga,M,9999-01-01,40000
12343,Sorina,Slaats,M,9999-01-01,52134
12365,Kamakshi,Bisiani,M,9999-01-01,40000
12373,Mooi,Driscoll,F,9999-01-01,75986
12395,Sanjit,Felder,M,9999-01-01,66909
12399,Mihalis,Luga,M,9999-01-01,85582
12411,Shao,Ibel,M,9999-01-01,97610
12413,Hugh,Gadepally,F,9999-01-01,53179
12417,Dannz,Spelt,F,9999-01-01,67342
12422,Berhard,Demos,F,9999-01-01,71376
12454,Kerryn,Farris,F,9999-01-01,41347
12464,Shai,Milicic,F,9999-01-01,50448
12475,Filipe,Roison,M,9999-01-01,40000
12487,Mona,Reghbati,F,9999-01-01,40000
12489,Arnould,Munck,F,9999-01-01,63306
12490,Jackson,Muchinsky,F,9999-01-01,40000
12497,Stein,Penz,M,9999-01-01,81191
12501,Morrie,Matheson,F,9999-01-01,76082
12504,Adly,Rosaz,F,9999-01-01,40000
12514,Tomofumi,Melter,M,9999-01-01,54241
12528,Conor,Cincotta,F,9999-01-01,40000
12534,Yongmao,Gerlach,M,9999-01-01,66715
12541,Shih,Nanard,M,9999-01-01,93105
12542,Kazuhide,Bouloucos,F,9999-01-01,44176
12551,Jeane,Tzvieli,M,9999-01-01,40000
12553,Aral,Vesna,M,9999-01-01,40000
12557,Stafford,Kopetz,M,9999-01-01,41840
10693,Berhard,Daescu,F,9999-01-01,40000
10702,Bader,Szemeredi,M,9999-01-01,46581
10718,Adib,Rullman,M,9999-01-01,75473
10726,Zita,Minakawa,F,9999-01-01,46315
10734,Sachar,Erdi,M,9999-01-01,47377
12596,Breannda,Roisin,M,9999-01-01,40000
12601,Ghassan,Simkin,M,9999-01-01,41714
12608,Nectarios,Mondadori,M,9999-01-01,40000
12635,Xinyu,Restivo,F,9999-01-01,40000
12638,Yuqun,Seiwald,F,9999-01-01,56677
12642,Suebskul,Gips,F,9999-01-01,68271
12651,Pragnesh,Bael,M,9999-01-01,75150
12662,Leucio,Alvarado,M,9999-01-01,69016
12663,Nobuyoshi,Stellhorn,M,9999-01-01,49966
12664,Zhonghua,Parveen,M,9999-01-01,40000
12689,Luerbio,Boudaillier,M,9999-01-01,59689
12589,Anoosh,Chleq,M,9999-01-01,59441
12691,Oddvar,Gils,M,9999-01-01,48493
12697,Uri,Brizzi,M,9999-01-01,40000
12709,Ronghao,Botman,M,9999-01-01,45510
12717,Tzu,Jiafu,F,9999-01-01,53194
12722,Elliott,Cheshire,F,9999-01-01,62325
12726,Fumitake,Panwar,M,9999-01-01,61177
12729,Nahla,Rahier,F,9999-01-01,51796
12731,Yongmao,Waymire,F,9999-01-01,40000
12732,Mara,Takanami,M,9999-01-01,74436
12734,Gil,Frijda,M,9999-01-01,40000
12755,Rildo,Rodite,F,9999-01-01,40196
12773,Jenwei,Lovengreen,M,9999-01-01,65556
12977,Byong,Markovitch,M,9999-01-01,61326
12983,Elliott,Hambrick,F,9999-01-01,57252
13030,Yahiko,Kroll,M,9999-01-01,51770
12790,Gunilla,Perl,F,9999-01-01,87760
13046,Vivian,Stafford,M,9999-01-01,40000
13047,Atilio,Chelton,M,9999-01-01,52323
13075,Rosella,Morrin,M,9999-01-01,40000
13076,Deniz,Skafidas,F,9999-01-01,50582
13096,Ibibia,Armand,M,9999-01-01,52544
13103,Srinidhi,Ellozy,F,9999-01-01,40000
13124,Quingbo,Garnick,F,9999-01-01,73785
13133,Guther,Senzako,M,9999-01-01,67777
13134,Lorien,Chepyzhov,M,9999-01-01,51227
13144,Persi,Nollmann,M,9999-01-01,52825
13146,Haldon,Erie,M,9999-01-01,61398
13147,Shichao,Ginesta,M,9999-01-01,77429
13156,Akeel,Millington,M,9999-01-01,48285
13165,Lucian,Benner,F,9999-01-01,42796
13168,Munir,Stentiford,F,9999-01-01,49210
13170,Cheong,Bernardeschi,M,9999-01-01,49012
13171,Anoosh,Birnbaum,M,9999-01-01,40000
13173,Arve,Horswill,M,9999-01-01,46354
13179,Moty,Janocha,M,9999-01-01,90233
13182,Kokou,Rodite,M,9999-01-01,46832
13186,Kyoichi,Barbanera,M,9999-01-01,93138
13192,Rosita,Flowers,M,9999-01-01,43986
13202,Aram,Scharstein,F,9999-01-01,51915
13210,Jianhua,Klassen,M,9999-01-01,83961
12795,Masoud,Fordan,M,9999-01-01,56969
12798,Lillian,Beeson,F,9999-01-01,81145
12803,Gad,Boissier,M,9999-01-01,91789
12815,Sushant,Junot,M,9999-01-01,65073
12819,Mountaz,Gubsky,M,9999-01-01,48455
13213,Hein,Billawala,M,9999-01-01,61131
13232,Mitchel,Fujisaki,F,9999-01-01,40000
12848,Kazuhide,Smeets,M,9999-01-01,40000
12863,Leif,Matheson,M,9999-01-01,62803
12872,Marl,Schmittgen,F,9999-01-01,56040
12879,Baruch,Eugenio,M,9999-01-01,40000
12890,Neven,Casley,F,9999-01-01,66803
12893,Licheng,Crouzet,M,9999-01-01,50803
12895,Roddy,Serot,M,9999-01-01,40000
13233,Alselm,Chvatal,M,9999-01-01,49414
12905,Munehiro,Gecsei,M,9999-01-01,58659
13238,Ebru,Foote,F,9999-01-01,40000
13240,King,Pileggi,M,9999-01-01,49018
12926,Heekeun,Luby,M,9999-01-01,68314
13250,Zeydy,Schusler,M,9999-01-01,47829
12940,Odinaldo,Farrar,F,9999-01-01,49760
12941,Tommaso,Perelgut,F,9999-01-01,67069
12949,Geoff,Asrin,F,9999-01-01,40000
13272,Arun,Jiang,F,9999-01-01,40000
13332,Nidapan,Pearson,F,9999-01-01,40000
13333,Yoshinari,Hennebert,M,9999-01-01,50997
13341,Bodh,Doering,F,9999-01-01,40000
13343,Heon,Usery,M,9999-01-01,40000
13276,Yechiam,Seuren,M,9999-01-01,65836
13288,Muneo,Broomell,F,9999-01-01,40000
13368,Kiyokazu,Klassen,M,9999-01-01,52872
13371,Nakhoon,Riexinger,F,9999-01-01,40000
13373,Juichirou,Naumovich,M,9999-01-01,82749
13291,Georg,Stamatiou,M,9999-01-01,54720
13385,Claudi,Buchter,M,9999-01-01,40000
13386,Khosrow,Sgarro,F,9999-01-01,91420
13389,Divine,Cmelik,F,9999-01-01,40000
13392,Fumitake,Beidas,F,9999-01-01,69221
13396,Chuanyi,Aumann,F,9999-01-01,40000
13402,Augustine,Dulli,M,9999-01-01,40000
13405,Randy,Baba,F,9999-01-01,60799
13407,Gio,Chenoweth,M,9999-01-01,60348
13408,Sreekrishna,Lagarias,M,9999-01-01,52479
13415,Nathalie,Speer,F,9999-01-01,61838
13422,Vishwani,Gerlach,F,9999-01-01,59466
13302,Mack,Alencar,F,9999-01-01,40000
13442,Giordano,Miake,M,9999-01-01,40000
13443,Mayuko,Puppo,M,9999-01-01,40000
13445,Renee,Dehkordi,M,9999-01-01,53194
13451,Gretta,Weiland,M,9999-01-01,40000
13457,Shooichi,Parfitt,M,9999-01-01,40812
13458,Feipei,Nivat,F,9999-01-01,41375
13463,Theron,Berstel,F,9999-01-01,40000
13465,Sasan,Rehfuss,M,9999-01-01,49821
13493,Uinam,Jullig,F,9999-01-01,40000
13315,Sakthirel,Stroustrup,F,9999-01-01,40000
13504,Parto,Mandell,F,9999-01-01,41895
13704,Vishu,Kumaresan,F,9999-01-01,40000
13524,Chaoyi,Porotnikoff,F,9999-01-01,52849
13535,Arunas,Schlenzig,F,9999-01-01,40000
13546,Aimee,Brookner,F,9999-01-01,50295
13549,Matk,Koprowski,M,9999-01-01,40000
13552,Ingmar,Capobianchi,M,9999-01-01,73346
13576,Jungsoon,Engberts,F,9999-01-01,73022
13721,Sugwoo,Delgrossi,F,9999-01-01,64754
13605,Dmitry,Encarnacion,F,9999-01-01,70404
13621,Fei,Haddadi,M,9999-01-01,73192
13624,Zhigen,Yurek,M,9999-01-01,40000
13629,Dzung,Trelles,M,9999-01-01,40000
13727,Vitali,Merey,M,9999-01-01,50798
13648,Zejun,Lamba,F,9999-01-01,47723
13653,Kristen,Iivonen,M,9999-01-01,53242
13738,Bangqing,Mitchem,F,9999-01-01,48349
13670,Moti,Takanami,F,9999-01-01,40000
13680,Denny,Speer,M,9999-01-01,46968
13685,Weicheng,Hockney,F,9999-01-01,48322
13697,Shuichi,Weedon,M,9999-01-01,40000
13766,Tremaine,Heemskerk,M,9999-01-01,43748
13894,Ult,Schonegge,F,9999-01-01,48958
13904,Youngkon,Cairo,M,9999-01-01,73885
13934,Shiv,Bratsberg,F,9999-01-01,46507
13942,Elzbieta,Esteva,M,9999-01-01,40000
13951,Mooi,Genther,F,9999-01-01,82054
13960,Nechama,Hettesheimer,M,9999-01-01,43204
13962,Maris,Ghelli,M,9999-01-01,67965
13966,Boguslaw,Cooman,F,9999-01-01,40000
13969,Jianwen,Chandrasekhar,F,9999-01-01,60392
13990,Deborah,Schapiro,F,9999-01-01,52723
13992,Ulises,Kenevan,M,9999-01-01,81318
13999,Florian,Crouzet,M,9999-01-01,40000
14005,Vojin,Stellhorn,M,9999-01-01,40000
14015,Manibrata,Picaronny,M,9999-01-01,63084
14034,Aloys,Seghrouchni,M,9999-01-01,69700
14041,Shan,DeMori,F,9999-01-01,63235
14067,Godehard,Trachtenberg,M,9999-01-01,44669
14088,Mori,Leslie,M,9999-01-01,44821
14107,Xiahua,Rindone,M,9999-01-01,82396
14111,Leszek,Cummings,F,9999-01-01,52696
14118,Kasturi,Anido,M,9999-01-01,46248
14167,Adas,Hertweck,F,9999-01-01,40000
14191,Jiann,Luby,F,9999-01-01,40155
14209,Masanao,Kusakabe,F,9999-01-01,40000
14220,Tomofumi,Pargas,F,9999-01-01,68017
13769,Yakichi,Trogemann,F,9999-01-01,61025
14232,Masali,Bojadziev,M,9999-01-01,50568
14236,Xuedong,Angiulli,F,9999-01-01,40000
14237,Abdulla,Gerlach,F,9999-01-01,57219
14242,Sudhanshu,Benaini,F,9999-01-01,40000
13775,Arve,Maierhofer,M,9999-01-01,70161
13786,Takushi,Berendt,F,9999-01-01,74494
14257,Kwok,Massonet,F,9999-01-01,40000
13787,Xiaobin,Sinicrope,F,9999-01-01,40000
13792,Valery,Sury,M,9999-01-01,59127
14290,Miyeon,Olivero,M,9999-01-01,78736
14292,Susanna,Vigier,F,9999-01-01,41846
14298,Chriss,Granlund,F,9999-01-01,40000
13796,Paloma,Thorelli,M,9999-01-01,50962
14310,Marlo,Leuchs,M,9999-01-01,40000
14320,Sreenivas,Schaar,M,9999-01-01,40000
14322,Shem,Kakkad,M,9999-01-01,50363
14323,Golgen,Leslie,F,9999-01-01,40000
14340,Vitaly,Wixon,M,9999-01-01,42858
14344,Otilia,Buescher,F,9999-01-01,41979
14354,Mong,Bojadziev,M,9999-01-01,40000
14360,Janche,Erbe,M,9999-01-01,43476
13809,Kiyotoshi,Basagni,M,9999-01-01,43735
14372,Saniya,Srimani,F,9999-01-01,57667
14384,Tomofumi,Holburn,F,9999-01-01,58260
14422,Toshimo,Gadepally,M,9999-01-01,59001
13815,Guadalupe,Plotkin,M,9999-01-01,40000
14434,Elvis,Maginnis,M,9999-01-01,40000
14439,Raimond,Woycyznski,M,9999-01-01,80654
13825,Arlette,Pell,M,9999-01-01,54704
13841,Christophe,Spinelli,M,9999-01-01,52277
14460,Yagil,Lueh,F,9999-01-01,56267
13842,Juichirou,Cichocki,F,9999-01-01,40000
14478,Munehiro,Boissier,F,9999-01-01,40000
14481,Moti,Lammel,M,9999-01-01,40000
14483,Supot,Marrevee,M,9999-01-01,40000
14486,Indrajit,Birdsall,M,9999-01-01,40000
13846,Guiseppe,Welham,M,9999-01-01,61097
14498,Xiong,Selenyi,M,9999-01-01,40000
13853,Mingsen,Roohalamini,M,9999-01-01,61615
14501,Taizo,Kroft,M,9999-01-01,63646
14509,Danil,Aloia,M,9999-01-01,40000
14513,Samphel,Barreiro,M,9999-01-01,83273
14515,Kazuhisa,Versino,F,9999-01-01,61645
14516,Kristian,Underwood,F,9999-01-01,73262
14518,Patricia,Peir,M,9999-01-01,64238
14522,Chuanyi,Ranta,F,9999-01-01,40000
14537,Babette,Engelmann,F,9999-01-01,48332
14552,Ibibia,Snyers,M,9999-01-01,40000
14556,Fatemeh,Zultner,M,9999-01-01,40000
14560,Elrique,Driscoll,M,9999-01-01,62770
13859,Anoosh,Fujisawa,M,9999-01-01,40000
14581,Gao,Condotta,F,9999-01-01,59499
14582,Kiyokazu,Morrin,M,9999-01-01,40000
13884,Kensei,Swift,M,9999-01-01,44785
14600,Jayson,Cairo,F,9999-01-01,41352
14603,Lech,Marquardt,M,9999-01-01,55369
14607,Suzette,Selvestrel,M,9999-01-01,67813
14620,Jianhua,Erev,F,9999-01-01,53303
14621,Souichi,Wixon,F,9999-01-01,66404
14632,Gudjon,McClurg,M,9999-01-01,40000
14639,Arvind,Hempstead,F,9999-01-01,79405
14640,Toshimori,Kornatzky,M,9999-01-01,42662
14642,Florian,Kuhnemann,F,9999-01-01,54553
14645,Laurentiu,Glinert,F,9999-01-01,45647
14648,IEEE,Lorys,M,9999-01-01,89209
14659,Sashi,Adachi,F,9999-01-01,40926
14814,Odysseas,Nishimukai,M,9999-01-01,40000
14817,Gaurav,Masaki,M,9999-01-01,41203
14675,Teunis,Angel,F,9999-01-01,40000
14677,Herbert,Sifakis,M,9999-01-01,40000
14683,Alois,Basart,M,9999-01-01,41107
14690,Yechezkel,Bellone,F,9999-01-01,40000
14693,Brewster,Stranks,F,9999-01-01,59960
14821,Oguz,Kilgore,M,9999-01-01,42545
14710,Mahmut,Hainaut,F,9999-01-01,40341
14723,Constantino,Assaf,M,9999-01-01,40000
14724,Aron,Lemarechal,M,9999-01-01,66530
14839,Changho,Cronin,M,9999-01-01,40000
14853,Taiji,Nergos,F,9999-01-01,58311
14780,Marlo,Bruckman,F,9999-01-01,51232
14785,Zhonghua,Kaiser,M,9999-01-01,46936
14793,Stein,Uchoa,M,9999-01-01,47045
14877,Arto,Meriste,M,9999-01-01,40000
14879,Anyuan,Sigstam,M,9999-01-01,54322
14888,Temple,Barriga,F,9999-01-01,60916
15005,Kiam,Sadowsky,M,9999-01-01,50368
15016,Woody,Gulik,F,9999-01-01,40000
15018,Ramalingam,Prenel,F,9999-01-01,40668
15019,Qingxiang,Shokrollahi,F,9999-01-01,41721
14899,Alejandro,Casley,M,9999-01-01,64365
15029,Giordano,Koshino,M,9999-01-01,40000
15030,Rasikan,Nourani,M,9999-01-01,40000
15036,Ziva,Delgrande,M,9999-01-01,40000
15049,Khun,Waymire,F,9999-01-01,40000
15052,Flemming,Kranzdorf,M,9999-01-01,40630
15055,Shrikanth,Sherertz,M,9999-01-01,40000
14906,Adil,Parveen,F,9999-01-01,54758
15066,Tomokazu,Oaver,M,9999-01-01,43455
15069,Manton,Siksek,M,9999-01-01,40000
15071,Ayonca,Couchot,F,9999-01-01,97484
15075,Radoslaw,Rijsenbrij,M,9999-01-01,40000
15077,Toshiki,Taubenfeld,F,9999-01-01,40000
15082,Guadalupe,Zirintsis,F,9999-01-01,63024
15087,Chirstian,Ushiama,F,9999-01-01,40000
14908,Kerhong,Flanders,F,9999-01-01,40000
15089,Giri,Coney,F,9999-01-01,48594
15092,Remmert,Bahi,F,9999-01-01,40000
15102,Luigi,Axelband,F,9999-01-01,40374
15105,Sudhanshu,Itzigehl,M,9999-01-01,75800
15114,Pantung,Honglei,M,9999-01-01,40000
15134,Arun,Luiz,F,9999-01-01,62752
